songId,songTitle,titleDxdata,titleDivingFish,missingSources,hasDxdata,hasDivingFish,hasMaichart,sheetCount
429,Wonderland Wars オープニング,,,dxdata|diving-fish,N,N,Y,0
902,次の方お願いします,,,dxdata|diving-fish,N,N,Y,0
903,カービン,,,dxdata|diving-fish,N,N,Y,0
904,とても遠い愛,,,dxdata|diving-fish,N,N,Y,0
906,So long,,,dxdata|diving-fish,N,N,Y,0
907,飛行履歴,,,dxdata|diving-fish,N,N,Y,0
10199,チルノのパーフェクトさんすう教室,,,dxdata|diving-fish,N,N,Y,0
11879,Xaleid◆scopiX (2),,,dxdata|diving-fish,N,N,Y,0
11980,テレパシ,,,dxdata|diving-fish,N,N,Y,0
100121,[撫]スイートマジック,,,dxdata|diving-fish,N,N,Y,0
100606,[右]The wheel to the right,,,dxdata|diving-fish,N,N,Y,0
100631,[逆]KING is BACK!!,,,dxdata|diving-fish,N,N,Y,0
110997,[破]テレパシ,,,dxdata|diving-fish,N,N,Y,0
111156,[奏]マイオドレ！舞舞タイム,,,dxdata|diving-fish,N,N,Y,0
111634,[協]青春コンプレックス,,,dxdata|diving-fish,N,N,Y,0
111852,[好]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
111859,[騒]ありきたりな恋の歌,,,dxdata|diving-fish,N,N,Y,0
111908,[耐]死ぬな！,,,dxdata|diving-fish,N,N,Y,0
111914,[音]テトリス,,,dxdata|diving-fish,N,N,Y,0
121634,[協]青春コンプレックス,,,dxdata|diving-fish,N,N,Y,0
121852,[譜]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
131852,[面]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
141852,[発]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
151852,[表]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
161852,[龍]好きな惣菜発表ドラゴン,,,dxdata|diving-fish,N,N,Y,0
